Nama,Tipe Barang,Varian Barang,Ulasan,Rating,Tanggal
S***i,miyako Rice cooker 3 in 1 model mcm 609,Varian barang tidak ditemukan,Maaf ya kak saya kasih bintang 1 untuk produk ini. Karena katanya 3 in 1. Ternyata gak bisa untuk menghangatkan. Hanya bisa memasak untuk sementara ini,1,Lebih dari 1 tahun lalu
F***e,Miyako MCM 528 Silver Magic Com Rice Cooker [ 1.8 Liter],Varian barang tidak ditemukan,"Barang yg datang rusak, untung 1 kota jadi bisa lsg tukar ke tokonya.",1,Lebih dari 1 tahun lalu
Iren,Cosmos Blender CB 282G,Varian barang tidak ditemukan,pelayanannya kurang bagus,2,Lebih dari 1 tahun lalu
Hamzah,Cosmos Blender CB 282G,Varian barang tidak ditemukan,"pisau kurang tajam, bumbu sekelas bawang merah saja mesti di cincan lebih dahulu baru di blender pakai cosmon ini.",2,Lebih dari 1 tahun lalu
M***m,Cosmos Stand Fan 16 inch - 16XDC,Varian barang tidak ditemukan,"Pelayanan penjual mantap. Memuaskan. 
Tapi barangnya ribet. Baut bautnya menggunakan baja putih yang ringkih. Dua baut kipas saya tida bisa dibuka (lihat gambar) . Dari t...",3,Lebih dari 1 tahun lalu
Ismail,PROGAS kompor portable 2 in 1 Termurah,Varian barang tidak ditemukan,Material Produk Bagus Produk Original Produk Berfungsi Dengan Baik. Tapi box hitamnya udah pecah bagian sudut pas sampai.,3,Lebih dari 1 tahun lalu
Anca,BUBBLE WRAP,Varian barang tidak ditemukan,mahal,3,Lebih dari 1 tahun lalu
J***y,Cosmos Stand Fan 16 inch - 16XDC,Varian barang tidak ditemukan,TERNYATA KIPAS ANGIN NYA PENDEK...TAPI LUMAYAN LAH UNTUK MEMBANTU MENGHILANGKAN PANAS DI RUANGAN...,4,Lebih dari 1 tahun lalu
paul,"SEKAI Exhaust Fan 8"" MVF-893",Varian barang tidak ditemukan,respon cepat,4,Lebih dari 1 tahun lalu
h***i,Cosmos Stand Fan 16 inch - 16XDC,Varian barang tidak ditemukan,berfungsi dengan baik,4,Lebih dari 1 tahun lalu
R***t,Cosmos Stand Fan 16 inch - 16XDC,Varian barang tidak ditemukan,"baut di bagian kaki (4pcs) terpasang terlalu keras. susah ngelepasnya. harusnya dikendorin aja, atau kl perlu ga usah dipasang.",4,Lebih dari 1 tahun lalu
J***y,MIYAKO KIPAS ANGIN WALL FAN REMOTE KAW-1689 RC,Varian barang tidak ditemukan,Ada jaring kipas yg bengkok masuk ke dalam,4,Lebih dari 1 tahun lalu
Arief,Mito Oven MO 999 TOP 28L,Varian barang tidak ditemukan,"barang sudah di cek secara fisik aman, tinggal fungsi yg belum dicoba mudah2an aman. seller responsif dan proses pengiriman cepat. terima kasih",4,Lebih dari 1 tahun lalu
M***e,Mito MO-888 Electric Oven 33 Liter Fantasy,Varian barang tidak ditemukan,belum dibuka dan coba . nanti diulang review ya kalau sudah di buka dan Cobain,4,Lebih dari 1 tahun lalu
Yuni,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,"pengiriman cepat,  thanks",4,Lebih dari 1 tahun lalu
Nurhan,MIYAKO Rice Cooker MCM-507,Varian barang tidak ditemukan,Bagus.,4,Lebih dari 1 tahun lalu
l***s,BUBBLE WRAP,Varian barang tidak ditemukan,Good,4,Lebih dari 1 tahun lalu
Brillian,LG PURICARE MASKER AP300AWFA,Varian barang tidak ditemukan,"barangnya bagus dan berfungsi sesuai fungsi yang semestinya. tapi kalau pakai kisaran 2 jam non stop, di seputaran telinga akan sakit dikarenakan bobot dari air purifier...",4,Lebih dari 1 tahun lalu
C***a,PACKING KAYU,Varian barang tidak ditemukan,Packaging Rapi & Aman,4,Lebih dari 1 tahun lalu
Hadi,"SEKAI Wall Exhaust Fan 12"" WEF 1290",Varian barang tidak ditemukan,Kencang tapi suaranya agak berisik,4,Lebih dari 1 tahun lalu
T***i,MITOCHIBA FOOD CHOPPER 1.5 L CH-100,Varian: Merah,"kado untuk temen, semoga awet. terimakasih tokped, terimakasih seller",4,Lebih dari 1 tahun lalu
A***i,Cosmos Stand Fan 16 inch - 16XDC,Varian barang tidak ditemukan,"Barang berkualitas, Ber-kuantitas dan ber-elektabilitas. Semoga berganrasi diwaktu rusak. sekian dan di terima...",4,Lebih dari 1 tahun lalu
B***r,Cosmos wall fan 16 WFC /kipas angin listrik dinding tembok,Varian barang tidak ditemukan,terimakasih paketx sdh kami terima,4,11 bulan lalu
Richard,Kompor Rinnai RI-522E,Varian barang tidak ditemukan,"Pelayanannya cepat. Sebelum dikirim, dites dulu dan difotokan.. Gojek yang antar pun cepat sampai.. yang jadi masalah cuma 1.. burner kuningannya beda kiri dan kanan.. yg...",4,2 minggu lalu
Noni,RINNAI Kompor Gas 2 Tungku RI-522S,Varian barang tidak ditemukan,👍👍👍,5,Lebih dari 1 tahun lalu
Syamsinar,MIYAKO KOMPOR GAS 1 TUNGKU KG-101 C,Varian barang tidak ditemukan,pelayanan baik pesan siang malam sudah ada di rumah. semoga selalu memuaskan. terimakasih,5,Lebih dari 1 tahun lalu
Risnal,MASPION Kompor Listrik KP S-300,Varian barang tidak ditemukan,top top top,5,Lebih dari 1 tahun lalu
herman,RINNAI Kompor Gas 1 Tungku RI-301S,Varian barang tidak ditemukan,barang nya bagus,5,Lebih dari 1 tahun lalu
P***h,PHILIPS Setrika GC-122 350Watt,Varian barang tidak ditemukan,mantul,5,Lebih dari 1 tahun lalu
harifin,XIAOMI MI TV 4 BEZELLESS 43 L43M6-EL,Varian barang tidak ditemukan,puas sekali,5,Lebih dari 1 tahun lalu
Park,MIYAKO Blender Plastik 1.5Liter BL-151 PF/AP,Varian barang tidak ditemukan,"respon cpt dan langsumg d kirim. packing rapi, saat barang d cek ada dokumentasinya.. makasih, senang belanja di toko ini...",5,Lebih dari 1 tahun lalu
d***a,LG PURICARE MASKER AP300AWFA,Varian barang tidak ditemukan,biar bintang yg berbicara,5,Lebih dari 1 tahun lalu
A***i,MITOCHIBA MESIN CUCI PORTABLE WM-1,Varian barang tidak ditemukan,"Respon penjual cepat, barang sesuai pesanan dan sdh dites sblm pngiriman jadi lbh aman, 👍. Desainnya elegan ✨.",5,Lebih dari 1 tahun lalu
Rahmat,BUBBLE WRAP,Varian barang tidak ditemukan,"Respon cepat, pengiriman tepat waktu",5,Lebih dari 1 tahun lalu
Rahmat,PHILIPS Stand Mixer Com HR-1559,Varian barang tidak ditemukan,"Respon cepat, pengiriman tepat waktu",5,Lebih dari 1 tahun lalu
B***i,KIRIN OVEN LISTRIK KBO-190 LW ( Low Watt ),Varian barang tidak ditemukan,"Direspon dgn 
cepat.",5,Lebih dari 1 tahun lalu
B***i,KIRIN OVEN LISTRIK KBO-190 LW ( Low Watt ),Varian barang tidak ditemukan,Respon sangat baik,5,Lebih dari 1 tahun lalu
Ari,RINNAI Kompor Gas 2 Tungku RI-522S,Varian barang tidak ditemukan,"Pngiriman super cepat,barang mantap",5,Lebih dari 1 tahun lalu
Februadi,MITOCHIBA MAGIC CHOPPER 2 LITER CH-200,Varian barang tidak ditemukan,"barang sesuai, seller ramah, dan pengiriman cepat",5,Lebih dari 1 tahun lalu
Ado,KIRIN Setrika Listrik KEI-340S,Varian barang tidak ditemukan,Trimkash sangat memuaskan,5,Lebih dari 1 tahun lalu
