Nama,Tipe Barang,Varian Barang,Ulasan,Rating,Tanggal
W***s,iBasso CB19 DAC Independent Power Supply Line High-purity Oxygen Free,Varian barang tidak ditemukan,Berfungsi dengan baik dengan DC Elite dan iPhone. Issue random disconnect tidak terjadi lagi. Output SQ juga ada peningkatan.,5,1 hari lalu
Muhammad,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,"gokil dac nya coy, op bener",5,2 hari lalu
L***I,iBasso CB19 DAC Independent Power Supply Line High-purity Oxygen Free,Varian barang tidak ditemukan,Terima kasih yaa...,5,2 hari lalu
Edy,FiiO MAGCLIP Magnetice Bundling Kit for FiiO USB dongle KA17/KA13/KA5/KA3/KA2/KA1,Varian barang tidak ditemukan,Kualitas barang cukup ok dan magnetnya juga cukup kuat,5,3 hari lalu
ardi,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: Black,"Barang berfungsi dengan baik, suara bagus dan nyaman dipakai seharian. Suara sudah jelas & bass nya terasa",5,3 hari lalu
A***a,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: Black,"barangnya mantap, respon tokonya juga mantap",5,4 hari lalu
Habibi,iBasso CB19 DAC Independent Power Supply Line High-purity Oxygen Free,Varian barang tidak ditemukan,mantabbb,5,6 hari lalu
Bagus,Moondrop Quark2 / Quark 2 / Quark-2 / Quark II | Hi-Fi USB-C Micro Dynamic Driver In-ear Headphones,Varian barang tidak ditemukan,"Produk Orisinil
Suaranya Merdu, Fittingnya enak bagi kuping sendiri, Desain kalem (gak neko neko), Minus boxnya Generic 🗿",5,1 minggu lalu
N***n,Moondrop Space Travel True Wireless TWS Earphone Bluetooth 5.3,Varian: White,"kualitas sesuai ekspektasi sih, cuma kurirnya aja yang rada 🤡",4,1 minggu lalu
R***o,Moondrop MAY DSP Dynamic Driver + Planar Driver In-Ear Headphone,Varian barang tidak ditemukan,"mantep dah, moga ga hilang lagi",5,1 minggu lalu
p***o,FiiO Jade Audio JA11 / JA-11 / JA 11 USB Type C to 3.5mm Earphone/Headphone DAC and Amplifier For IOS Android,Varian: Black,tapi kok ada delaynya apakah itu bukan rusak yah,5,1 minggu lalu
